Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
290819,2007,Halogenated derivatives of phenols/phenol-alcohols containing only halogen substituents & their salts (excl. of 2908.11),290810
290890,1996,Other,290820
290890,2002,Other,290820
290891,2007,Dinoseb (ISO)&its salts,290820
290899,2007,Halogenated/sulphonated/nitrated/nitrosated derivatives of phenols/phenol-alcohols (excl. of 2908.11-2908.91),290820
290944,1996,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Other monoalkylethers of ethylene glycol or of diethylene glycol",290942
290944,2002,Other monoalkylethers of ethylene glycol or of diethylene glycol,290942
290944,2007,Monoalkylethers of ethylene glycol/diethylene glycol (excl. of 2909.43),290942
291040,2007,"Dieldrin (ISO, INN)",291090
291219,1996,Acyclic aldehydes without other oxygen function :-- Other,291213
291219,2002,Other,291213
291219,2007,Acyclic aldehydes without other oxygen function (excl. of 2912.11&2912.12),291213
292250,1996,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",291450
292250,2002,"Amino-alcohol-phenols, amino-acid-phenols and other aminocompounds with oxygen function",291450
292250,2007,"Amino-alcohol-phenols, amino-acid-phenols & other amino-comps. with oxygen function",291450
293390,1996,Other,291450
293391,2002,"Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), lo",291450
293391,2007,"Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), lo",291450
293399,2002,Other,291450
293399,2007,Heterocyclic comps. with nitrogen hetero-atom(s) only (excl. of 2933.11-2933.91),291450
293490,1996,Other,291450
293491,2002,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); sa",291450
293491,2007,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) & sufentanil (INN); salt",291450
293499,2002,Other,291450
293499,2007,"Nucleic acids&their salts, whether/not chemically defined,n.e.s.; other heterocyclic compounds,n.e.s.",291450
293710,1996,"Pituitary (anterior) or similar hormones, and their derivatives",291450
293711,2002,"Somatotropin, its derivatives and structural analogues",291450
293711,2007,"Somatotropin, its derivatives & structural analogues",291450
293719,2002,Other,291450
293719,2007,"Polypeptide hormones, protein hormones & glycoprotein hormones, their derivatives & structural analogues (excl. of 2937.11 & 2937.12)",291450
293729,1996,Adrenal cortical hormones and their derivatives :-- Other,291450
293729,2002,Other,291450
293729,2007,"Steroidal hormones, their derivatives & structural analogues (excl. of 2937.21-2937.23)",291450
293731,2002,Epinephrine,291450
293731,2007,Epinephrine,291450
293739,2002,Other,291450
293739,2007,"Catecholamine hormones other than epinephrine, their derivatives & structural analogues",291450
293740,2002,Aminoacid derivatives,291450
293740,2007,Amino-acid derivatives,291450
293750,2002,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",291450
293750,2007,"Prostaglandins, thromboxanes & leukotrienes, their derivatives & structural analogues",291450
293790,2002,Other,291450
293790,2007,"Hormones, prostaglandins, thromboxanes & leukotrienes, natural/reproduced by synthesis(excl. of  2937.11-2937.50); derivatives & structural analogues thereof, including chain modified polypeptides, used primarily as hormones",291450
293799,1996,Other hormones and their derivatives; other steroids used primarily as hormones :-- Other,291450
291522,1996,Acetic acid and its salts; acetic anhydride :-- Sodium acetate,291529
291522,2002,Sodium acetate,291529
291523,1996,Acetic acid and its salts; acetic anhydride :-- Cobalt acetates,291529
291523,2002,Cobalt acetates,291529
291534,1996,Esters of acetic acid :-- Isobutyl acetate,291539
291534,2002,Isobutyl acetate,291539
291535,1996,Esters of acetic acid :-- 2-Ethoxyethyl acetate,291539
291535,2002,2-Ethoxyethyl acetate,291539
291536,2007,Dinoseb (ISO) acetate,291539
